State,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
Alabama,4040587,22,2867460,18,8447,10,71,4,21,6
Alaska,550043,50,177337,51,814,44,32.2,49,15,20
Arizona,3665228,24,1577427,29,2766,34,43,39,8,40
Arkansas,2350725,33,1425192,30,5209,20,60.6,21,22,4
California,29760021,1,12585339,1,14427,2,42.3,41,5,51
Colorado,3294394,26,1294376,33,2813,33,39.3,45,9,35
Connecticut,3287116,27,2047646,25,1944,36,62.3,15,6,45
Delaware,666168,46,306364,48,523,50,46,37,8,38
District of Columbia,606900,48,374160,46,343,51,61.7,17,6,46
Florida,12937926,4,5672756,6,8577,9,43.8,38,7,43
Georgia,6478216,11,3730757,12,8300,11,57.6,27,13,23
Hawaii,1108229,41,390827,44,758,47,35.3,47,7,42
Idaho,1006749,42,507426,39,1600,40,50.4,31,16,17
Illinois,11430602,6,6848422,5,9799,7,59.9,25,9,34
Indiana,5544159,14,2634841,20,7134,16,47.5,36,13,22
Iowa,2776755,30,1681062,27,4560,23,60.5,22,16,15
Kansas,2477574,32,1354657,32,3958,28,54.7,29,16,16
Kentucky,3685296,23,2227747,22,7255,14,60.4,23,20,7
Louisiana,4219973,21,2975409,15,4025,27,70.5,5,10,33
Maine,1227928,38,447053,42,1336,42,36.4,46,11,28
Maryland,4781468,19,2311614,21,3519,29,48.3,33,7,41
Massachusetts,6016425,13,3942101,11,3382,30,65.5,10,6,47
Michigan,9295297,8,4686550,9,7229,15,50.4,30,8,39
Minnesota,4375099,20,2837418,19,4981,22,64.9,11,11,26
Mississippi,2573216,31,1806049,26,5433,19,70.2,6,21,5
Missouri,5117073,15,2944890,17,7666,12,57.6,28,15,19
Montana,799065,44,341247,47,1415,41,42.7,40,18,11
Nebraska,1578385,36,1006572,34,2629,35,63.8,14,17,14
Nevada,1201833,39,386312,45,664,48,32.1,51,6,48
New Hampshire,1109252,40,438374,43,896,43,39.5,44,8,37
New Jersey,7730188,9,4734822,8,4183,25,61.3,19,5,50
New Mexico,1515069,37,889298,36,1824,37,58.7,26,12,25
New York,17990455,2,11813403,2,10878,6,65.7,9,6,44
North Carolina,6628637,10,3977923,10,11331,4,60,24,17,12
North Dakota,638800,47,484628,40,1622,39,75.9,3,25,2
Ohio,10847115,7,5437630,7,11086,5,50.1,32,10,31
Oklahoma,3145585,28,2102290,24,5707,17,66.8,8,18,10
Oregon,2842321,29,915285,35,2908,32,32.2,50,10,30
Pennsylvania,11881643,5,7290699,4,13284,3,61.4,18,11,27
Rhode Island,1003464,43,769964,37,554,49,76.7,2,6,49
South Carolina,3486703,25,2157828,23,5509,18,61.9,16,16,18
South Dakota,696004,45,474010,41,1781,38,68.1,7,26,1
Tennessee,4877185,17,2984916,14,9246,8,61.2,20,19,9
Texas,16986510,3,10896401,3,16961,1,64.1,13,10,32
Utah,1722850,35,1374097,31,3319,31,79.8,1,19,8
Vermont,562758,49,236757,49,764,46,42.1,42,14,21
Virginia,6187358,12,2966083,16,7490,13,47.9,34,12,24
Washington,4866692,18,1612516,28,4092,26,33.1,48,8,36
West Virginia,1793477,34,741998,38,4443,24,41.4,43,25,3
Wisconsin,4891769,16,3160201,13,5023,21,64.6,12,10,29
Wyoming,453588,51,216375,50,766,45,47.7,35,17,13
,,,,,,,,,,
1990 - List of State Data,,,,,,,,,,
,,,,,,,,,,
For explanatory notes see the Methods page on our website: www.usreligioncensus.org,,,,,,,,,,
